"$phi [rad]","re(Mode(1)) []"
6.4,195564005265.823
6.5,195858908756.191
6.6,196303404921.933
6.7,196963450935.343
6.8,197754047975.897
6.9,198729111906.438
7,199861392693.244
7.1,201175986997.185
7.2,202615341460.738
7.3,204175026812.892
7.4,205890923203.9
7.5,207732303160.862
7.6,209698225780.395
7.7,211772576379.429
7.8,213939671078.85
7.9,216207692565.871
7.99999999999999,218543709250.248
8.09999999999999,220963466132.431
8.19999999999999,223443618941.111
8.29999999999999,225991482051.556
8.39999999999999,228567784248.065
8.49999999999999,231190154886.767
8.59999999999999,233841535448.113
8.69999999999999,236510510209.949
8.79999999999999,239196184886.938
8.89999999999999,241878960604.825
8.99999999999999,244556489193.367
9.09999999999999,247216877671.763
9.19999999999999,249864206977.013
9.29999999999999,252478826317.689
9.39999999999999,255060142331.459
