"$phi [rad]","vpc []"
6.4,0.320212380397897
6.5,0.315761476093501
6.6,0.311682965149847
6.7,0.308063334439748
6.8,0.304751350750793
6.9,0.301815521671005
7,0.299198932111761
7.1,0.29692513442554
7.2,0.29489607970245
7.3,0.293095351748391
7.4,0.291564504366169
7.5,0.2902498089855
7.6,0.289141435930224
7.7,0.288209415578382
7.8,0.287425893992685
7.9,0.286796086184709
7.99999999999999,0.286271090694367
8.09999999999999,0.285867395386941
8.19999999999999,0.285550729539388
8.29999999999999,0.285327182326046
8.39999999999999,0.285144436187401
8.49999999999999,0.285022785437452
8.59999999999999,0.28493931278748
8.69999999999999,0.284878951415387
8.79999999999999,0.284839848502911
8.89999999999999,0.284798210954196
8.99999999999999,0.284751389145499
9.09999999999999,0.284685858467474
9.19999999999999,0.284606877367759
9.29999999999999,0.284492737250608
9.39999999999999,0.284343898725359
