$phi [rad],Zk_Ave []
6.4,76.82603292
6.5,39.03981146
6.6,25.25354372
6.7,18.18119996
6.8,13.9290811
6.9,11.11335133
7,9.122340328
7.1,7.650697767
7.2,6.531721535
7.3,5.651244893
7.4,4.945673452
7.5,4.376202692
7.6,3.901136443
7.7,3.509778644
7.8,3.17730948
7.9,2.894854772
8,2.647816485
8.1,2.440458721
8.2,2.260131915
8.3,2.100048966
8.4,1.963369812
8.5,1.841234656
8.6,1.736099454
8.7,1.633155723
8.8,1.550794088
8.9,1.473373665
9,1.404837343
9.1,1.346012744
9.2,1.291677676
9.3,1.246113542
9.4,1.223899698
