$phi [rad],re(Mode(2)) [],re(Mode(3)) []
9.4,1.86172E+11,2.92151E+11
9.5,1.87294E+11,2.91493E+11
9.6,1.89129E+11,2.90446E+11
9.7,1.90992E+11,2.89129E+11
9.8,1.92718E+11,2.87928E+11
9.9,1.94393E+11,2.86675E+11
10,1.95998E+11,2.8533E+11
10.1,1.9758E+11,2.84082E+11
10.2,1.99065E+11,2.8284E+11
10.3,2.00491E+11,2.81512E+11
10.4,2.01884E+11,2.80333E+11
10.5,2.03216E+11,2.79157E+11
10.6,2.0448E+11,2.78065E+11
10.7,2.0571E+11,2.76947E+11
10.8,2.06909E+11,2.75988E+11
10.9,2.07869E+11,2.74691E+11
11,2.0892E+11,2.73852E+11
11.1,2.09842E+11,2.72875E+11
11.2,2.10672E+11,2.71937E+11
11.3,2.11413E+11,2.71245E+11
11.4,2.12158E+11,2.70537E+11
11.5,2.12887E+11,2.69953E+11
11.6,2.13583E+11,2.69186E+11
11.7,2.13858E+11,2.68867E+11
11.8,2.14133E+11,2.68548E+11
11.9,2.14409E+11,2.68229E+11
12,2.14684E+11,2.6791E+11
12.1,2.14959E+11,2.67591E+11
12.2,2.15234E+11,2.67272E+11
12.3,2.15509E+11,2.66954E+11
12.4,2.15784E+11,2.66635E+11
12.5,2.1606E+11,2.66316E+11
12.6,2.16335E+11,2.65997E+11
