"$phi [rad]","re(Mode(1)) []","re(Mode(2)) []","re(Mode(3)) []","re(Mode(4)) []"
6.4,98044997330.681,150114740394.136,185075339684.117,218399888899.63
6.5,98251838882.8389,150034717903.555,185229385126.831,218373346244.008
6.6,98458680434.9968,149954695412.973,185383430569.544,218346803588.385
6.7,98849520477.8951,149805050181.346,185608585104.698,218236365932.536
6.8,99240360520.7935,149655404949.719,185833739639.852,218125928276.688
6.9,99851968598.5117,149495852473.362,186146153964.732,217951418183.784
7,100463576676.23,149336299997.006,186458568289.612,217776908090.88
7.1,101157486444.553,149053259273.993,186861234961.321,217576938714.173
7.2,101924801986.436,148692646145.195,187255536640.384,217244891882.629
7.3,102790739475.617,148342718315.935,187733415321.618,216975096466.69
7.4,103717525342.157,147911528664.335,188282358495.967,216686737722.913
7.5,104735816300.153,147479956359.95,188832567307.415,216323729884.049
7.6,105800093456.821,147001457230.033,189406182607.867,215957098890.758
7.7,106928412195.337,146478109498.089,189998115413.272,215535701942.753
7.8,108132987840.332,145933089283.169,190656674272.15,215108311679.225
7.9,109375545061.229,145321000034.166,191400708959.409,214715080324.035
7.99999999999999,110635335212.65,144674269135.294,192115776857.024,214194324131.188
8.09999999999999,111933520954.106,143959443607.506,192952897149.156,213742275708.47
8.19999999999999,113267285189.251,143206785192.311,193744358821.993,213201279214.333
8.29999999999999,114636527910.078,142409373246.199,194540592606.391,212621773791.968
8.39999999999999,116046296158.464,141591020860.247,195365611387.437,212018540095.287
8.49999999999999,117454228269.519,140672418768.084,196175210963.455,211327667773.225
8.59999999999999,118862160380.574,139753816675.92,196984810539.474,210636795451.162
8.69999999999999,120275952027.532,138737866741.292,197859858856.812,209930501701.536
8.79999999999999,121689743674.49,137721916806.663,198734907174.151,209224207951.91
8.89999999999999,123098663216.203,136614740869.243,199664363716.684,208508162556.622
8.99999999999999,124507582757.917,135507564931.823,200593820259.217,207792117161.334
9.09999999999999,125879344526.858,134306764570.817,201506874302.299,207024138367.527
9.19999999999999,127251106295.799,133105964209.81,202419928345.382,206256159573.72
9.29999999999999,128634974649.736,131894918728.348,203228628278.761,205365427360.972
9.39999999999999,130000460425.41,130658915849.98,204096258190.908,204528386942.465
