"Phase [deg]","$phi [rad]","zk_AVEG []"
0,6.4,67.5411972520284
0,6.5,44.8442868125696
0,6.6,22.1473763731107
0,6.7,17.2168465939307
0,6.8,12.2863168147507
0,6.9,10.196263778323
0,7,8.10621074189535
0,7.1,6.82999228867063
0,7.2,5.82851948757659
0,7.3,5.07746663004118
0,7.4,4.47134696308515
0,7.5,3.96366052736433
0,7.6,3.57054037138459
0,7.7,3.22090329403862
0,7.8,2.92655602763246
0,7.9,2.67316447204478
0,7.99999999999999,2.47255682660143
0,8.09999999999999,2.28402730456709
0,8.19999999999999,2.13005389660119
0,8.29999999999999,1.99055736140226
0,8.39999999999999,1.86769574047083
0,8.49999999999999,1.76878734487418
0,8.59999999999999,1.66987894927754
0,8.69999999999999,1.58884523205491
0,8.79999999999999,1.50781151483229
0,8.89999999999999,1.4460953744499
0,8.99999999999999,1.3843792340675
0,9.09999999999999,1.33558344532014
0,9.19999999999999,1.28678765657277
0,9.29999999999999,1.25394164989104
0,9.39999999999999,1.21948419143893
